Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5186,Spike Set,65,Nitrate-Nitrite,2.62,mg/L,,128.2%,,,,2.62,mg/L
140,RW16-5186,Spike Set,65,Total Phosphorus,0.064,mg/L,,98.9%,,,,64,ppb
140,RW16-5187,Unknown,5,Chloride,18.8,mg/L,,,,,,18.8,mg/L
140,RW16-5187,Unknown,5,Sulfate,485,mg/L,Y,,,,,485,mg/L
140,RW16-5187,Unknown,5,TSS,170.5,mg/L,,,,,,170.5,mg/L
140,RW16-5187,Unknown,5,Nitrate-Nitrite,0.751,mg/L,,,,,,0.751,mg/L
140,RW16-5187,Unknown,5,Total Phosphorus,0.205,mg/L,,,,,,205,ppb
140,RW16-5188,Unknown,5,Chloride,5.24,mg/L,,,,,,5.24,mg/L
140,RW16-5188,Unknown,5,Sulfate,117,mg/L,,,,,,117,mg/L
140,RW16-5188,Unknown,5,TSS,18.6,mg/L,,,,,,18.55,mg/L
140,RW16-5188,Unknown,5,Nitrate-Nitrite,0.094,mg/L,0.33,,,,,0.094,mg/L
140,RW16-5188,Unknown,5,Total Phosphorus,0.0924,mg/L,0,,,,,92.4,ppb
140,RW16-5189,Unknown,5,Chloride,2.51,mg/L,,,,,,2.51,mg/L
140,RW16-5189,Unknown,5,Sulfate,18.3,mg/L,,,,,,18.3,mg/L
140,RW16-5189,Unknown,5,TSS,12.5,mg/L,,,,,,12.5,mg/L
140,RW16-5189,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0196,mg/L
140,RW16-5189,Unknown,5,Total Phosphorus,0.0444,mg/L,,,,,,44.4,ppb
140,RW16-5190,Unknown,5,Chloride,6.05,mg/L,,,,,,6.05,mg/L
140,RW16-5190,Unknown,5,Sulfate,313,mg/L,Y,,,,,313,mg/L
140,RW16-5190,Unknown,5,TSS,7.5,mg/L,,,,,,7.55,mg/L
140,RW16-5190,Unknown,5,Nitrate-Nitrite,0.304,mg/L,,,,,,0.304,mg/L
140,RW16-5190,Unknown,5,Total Phosphorus,0.13,mg/L,,,,,,130,ppb
140,RW16-5191,Unknown,5,Chloride,0,mg/L,,,,,,0.767,mg/L
140,RW16-5191,Unknown,5,Sulfate,33.6,mg/L,,,,,,33.6,mg/L
140,RW16-5191,Unknown,5,TSS,4.1,mg/L,,,,,,4.15,mg/L
140,RW16-5191,Unknown,5,Nitrate-Nitrite,0.14,mg/L,,,,,,0.14,mg/L
140,RW16-5191,Unknown,5,Total Phosphorus,0.018,mg/L,,,,,,18,ppb
140,RW16-5192,Unknown,5,Chloride,22.2,mg/L,,,,,,22.2,mg/L
140,RW16-5192,Unknown,5,Sulfate,381,mg/L,Y,,,,,381,mg/L
